word_id,xhosa,infinitive,is_plural
869,ona,ukona,false
870,dumba,ukudumba,false
871,jongana na-,ukujongana na-,false
872,cofa,ukucofa,false
873,iziko,,false
874,ubhuti,,false
875,umqala,,false
876,isebe,,false
877,unyana,,false
878,iRhawuti,,false
879,phazamisa,ukuphazama,false
880,lingana,ukulingana,false
881,kutshanje,,false
882,nuka,ukunuka,false
883,kruneka,ukukruneka,false
884,ingwenya,,false
885,umsebenzi,,false
886,umsebenzi,,false
887,khohlela,ukukhohlela,false
888,imbewu,,false
889,khula,ukukhula,false
890,igusha,,false
891,isilwanyana,,false
892,iimbewu,,true
893,izilwanyana,,true
894,usapho,,false
895,umgangatho,,false
896,ingca,,false
897,amagusha,,true
898,nkcenkceshela,ukunkcenkceshela,false
899,ufele,,false
900,omile,,false
901,ekuhlaleni,,false
902,ngoxolo,,false
903,bomvu,,false
904,blowu,,false
905,intsasa,,false
906,ngwevu,,false
907,mnyama,,false
908,mdaka,,false
909,inyembezi,,false
910,iinyembezi,,true
911,umthetho,,false
912,imithetho,,false
913,iintsapho,,true
914,isihombiso,,false
915,mhlophe,,false
916,luhlaza,,false
917,ubisi,,false
918,umoya,,false
919,vukisa,ukuvukisa,false
920,umtshato,,false
921,oja,ukoja,false
922,iinqununu,,true
923,inqununu,,false
924,nyamezela,ukunyamezela,false
925,dibanisa,ukudibanisa,false
926,galela,ukugalela,false
927,phuma,ukuphuma,false
928,Inokuba/inoba,,false
929,shiyeka,ukushiyeka,false
930,ncokola,ukuncokola,false
931,geza,ukugeza,false
932,goodbye,,false
933,omelele,,false
934,amasebe,,true
935,gqabhuka,ukugqabhuka,false
936,tyeba,ukutyeba,false
937,iTV,,false
938,shushu,,false
939,uloliwe,,false
940,oololiwe,,true
941,isigulana,,false
942,izigulana,,true
943,isibhedlele,,false
944,izibhedlele,,true
945,intwasahlobo,,false
946,ubusika,,false
947,umbhali,,false
948,ababhali,,true
949,umpu,,false
950,imipu,,true
951,ukwindla,,false
952,uluvo,,false
953,impumlo,,false
954,iimpumlo,,true
955,iflu,,false
956,ifiva,,false
957,impendulo,,false
958,iimpendulo,,true
959,umlomo,,false
960,amathanga,,true
961,ithanga,,false
962,shoulders,,true
963,iligxa,,false
964,iintamo,,true
965,intamo,,false
966,ithambo,,false
967,amathambo,,false
968,umlebe,,false
969,imilebe,,true
970,idolo,,false
971,isidlele,,false
972,izidlele,,true
973,iinwele,,true
974,isilevu,,false
975,izilevu,,false
976,imilomo,,true
977,amadolo,,true
978,impundu,,false
979,iimpundu,,true
980,ingqiniba,,false
981,iingqiniba,,true
982,ibunzi,,false
983,amabunzi,,true
984,ishiya,,false
985,amashiya,,true
986,umsebe,,false
987,imisebe,,true
988,imihlana,,true
989,iilwimi,,true
990,inqindi,,true
991,amaqindi,,true
992,uzipho,,false
993,iinzipho,,true
994,ingono,,false
995,iingono,,true
996,intende,,false
997,iintende,,true
998,umthondo,,false
999,imithondo,,true
1000,ubhontsi,,false
1001,ubhontsi,,false
1002,oobhontsi,,true
1003,oobhontsi,,true
1004,isibeleko,,false
1005,izibeleko,,true
1006,icandelo loqhaqho,,false
1007,amacandelo oqhaqho,,true
1008,isifo sephepha,,false
1009,icaphaza,,false
1010,amachapaza,,true
1011,iimviwo,,true
1012,khonza,ukukhonza,false
1013,emva koko,,false
1014,phucuka,ukuphucuka,false
1015,ncoma,ukuncoma,false
1016,qhela,ukuqhela,false
1017,uxhongo,,false
1018,ooxhongo,,true
1019,ijoni,,false
1020,amajoni,,true
1021,pain,,false
1022,igumbi likagqirha,,false
1023,kawonke-wonke,,false
1024,ihlobo,,false
1025,akha,ukwakha,false
1026,dumbile,,false
1027,rhoqo,,false
1028,isixhobo,,false
1029,isixhobo,,false
1030,izixhobo,,true
1031,izixhobo,,true
1032,ixabiso,,false
1033,zala,ukuzala,false
1034,ivumba,,false
1035,amavumba,,true
1036,umoya,,false
1037,umgama,,false
1038,umoya,,false
1039,hluma,ukuhluma,false
1040,pinki,,false
1041,orenji,,false
1042,lunga,ukulunga,false
1043,rayithi,,false
1044,rayithi,,false
1045,qho,,false
1046,qhankqalaza,ukuqhankqalaza,false
1047,qhankqalaza,ukuqhankqalaza,false
1048,yeka,ukuyeka,false
1049,umphantsi,,false
1050,imiphantsi,,true
1051,iphambili,,false
1052,amaphambili,,true
1053,ibele,,false
1054,amabele,,true
1055,icandelo labantwana,,false
1056,amacandelo abantwana,,true
1057,icandelo lamathambo,,false
1058,amacandelo amathambo,,true
1059,icandelo leengxwelerha,,false
1060,amacandelo eengxwelerha,,true
1061,icandelo legesi,,false
1062,amacandelo egesi,,true
1063,icandelo lesifo sephepha,,false
1064,amacandelo esifo sephepha,,true
1065,icandelo lokubelekisa,,false
1066,amacandelo okubelekisa,,true
1067,icandelo lomhlaza,,false
